Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
BKR,0.15,0.133,2019-04-30 06:45:00,2019-04-30,2019-03-18,2019-06-12
MRK,1.22,1.051,2019-04-30 06:45:00,2019-04-30,2019-03-18,2019-06-12
PFE,0.85,0.7609999999999999,2019-04-30 06:45:00,2019-04-30,2019-03-18,2019-06-12
AOS,0.53,0.573,2019-04-30 06:55:00,2019-04-30,2019-03-18,2019-06-12
LH,2.62,2.5340000000000003,2019-04-30 06:56:00,2019-04-30,2019-03-18,2019-06-12
MLM,0.68,0.33,2019-04-30 06:58:00,2019-04-30,2019-03-18,2019-06-12
SPG,3.04,3.054,2019-04-30 06:59:00,2019-04-30,2019-03-18,2019-06-12
CHTR,0.98,1.371,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
COP,1.0,0.907,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
FIS,1.64,1.4469999999999998,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
INCY,0.62,0.391,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
PSX,0.4,0.34,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
GLW,0.4,0.395,2019-04-30 07:16:00,2019-04-30,2019-03-18,2019-06-12
CMI,4.2,3.555,2019-04-30 07:30:00,2019-04-30,2019-03-18,2019-06-12
MCD,1.78,1.754,2019-04-30 07:58:00,2019-04-30,2019-03-18,2019-06-12
ARNC,0.43,0.387,2019-04-30 08:00:00,2019-04-30,2019-03-18,2019-06-12
GM,1.41,1.1,2019-04-30 08:00:00,2019-04-30,2019-03-18,2019-06-12
IPGP,1.02,1.099,2019-04-30 08:00:00,2019-04-30,2019-03-18,2019-06-12
MA,1.78,1.656,2019-04-30 08:00:00,2019-04-30,2019-03-18,2019-06-12
PCAR,1.81,1.6540000000000001,2019-04-30 08:00:00,2019-04-30,2019-03-18,2019-06-12
HCA,2.97,2.319,2019-04-30 08:15:00,2019-04-30,2019-03-18,2019-06-12
ECL,1.03,1.02,2019-04-30 08:30:00,2019-04-30,2019-03-18,2019-06-12
AMGN,3.56,3.469,2019-04-30 16:01:00,2019-04-30,2019-03-18,2019-06-12
FISV,0.84,0.8220000000000001,2019-04-30 16:01:00,2019-04-30,2019-03-18,2019-06-12
VRTX,1.14,1.005,2019-04-30 16:01:00,2019-04-30,2019-03-18,2019-06-12
AKAM,1.1,1.0190000000000001,2019-04-30 16:03:00,2019-04-30,2019-03-18,2019-06-12
CB,2.54,2.5610000000000004,2019-04-30 16:05:00,2019-04-30,2019-03-18,2019-06-12
CXO,0.72,0.7609999999999999,2019-04-30 16:05:00,2019-04-30,2019-03-18,2019-06-12
EXR,1.16,1.136,2019-04-30 16:05:00,2019-04-30,2019-03-18,2019-06-12
MDLZ,0.65,0.612,2019-04-30 16:05:00,2019-04-30,2019-03-18,2019-06-12
EIX,0.63,0.873,2019-04-30 16:09:00,2019-04-30,2019-03-18,2019-06-12
VRSK,1.03,1.034,2019-04-30 16:11:00,2019-04-30,2019-03-18,2019-06-12
CHRW,1.16,1.1440000000000001,2019-04-30 16:15:00,2019-04-30,2019-03-18,2019-06-12
OKE,0.81,0.723,2019-04-30 16:15:00,2019-04-30,2019-03-18,2019-06-12
UNM,1.31,1.3130000000000002,2019-04-30 16:15:00,2019-04-30,2019-03-18,2019-06-12
UDR,0.5,0.503,2019-04-30 16:16:00,2019-04-30,2019-03-18,2019-06-12
AMD,0.06,0.054000000000000006,2019-04-30 16:20:00,2019-04-30,2019-03-18,2019-06-12
EQR,0.82,0.812,2019-04-30 16:30:00,2019-04-30,2019-03-18,2019-06-12
DVN,0.36,0.276,2019-04-30 16:47:00,2019-04-30,2019-03-18,2019-06-12
BXP,1.72,1.6580000000000001,2019-04-30 17:15:00,2019-04-30,2019-03-18,2019-06-12
