Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
LHX,2.67,2.314,2019-01-29 06:00:00,2019-01-29,2018-12-13,2019-03-13
LIN,1.69,1.57,2019-05-10 06:00:00,2019-05-10,2019-03-28,2019-06-24
LKQ,0.56,0.561,2019-04-25 06:00:00,2019-04-25,2019-03-13,2019-06-07
LLY,1.33,1.301,2019-04-30 06:25:00,2019-04-30,2019-03-18,2019-06-12
LMT,5.99,4.343,2019-04-23 07:30:00,2019-04-23,2019-03-11,2019-06-05
LNC,2.14,2.0340000000000003,2019-05-01 16:15:00,2019-05-01,2019-03-19,2019-06-13
LNT,0.53,0.514,2019-05-02 19:00:00,2019-05-02,2019-03-20,2019-06-14
LOW,0.8,0.789,2019-02-27 06:00:00,2019-02-27,2019-01-14,2019-04-10
LRCX,3.87,3.6639999999999997,2019-01-23 16:05:00,2019-01-23,2018-12-07,2019-03-07
LUV,0.7,0.608,2019-04-25 06:31:00,2019-04-25,2019-03-13,2019-06-07
LVS,0.91,0.866,2019-04-17 16:05:00,2019-04-17,2019-03-06,2019-05-31
